City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
123,codrington,88,AU,1542487181,100,-28.95,62.34,6.38,153.24
124,mudon,8,MM,1542487182,95,16.26,75.61,2.13,97.73
125,lagoa,20,PT,1542484800,82,37.14,64.4,20.8,-8.45
126,meulaboh,88,ID,1542487182,100,4.14,78.49,4.59,96.13
127,camrose,20,CA,1542484800,67,53.01,21.2,8.05,-112.84
128,plettenberg bay,0,ZA,1542487183,100,-34.05,60.94,3.8,23.37
129,new norfolk,75,AU,1542484800,66,-42.78,53.6,5.82,147.06
130,takoradi,56,GH,1542487184,98,4.89,82.27,6.15,-1.75
131,dobryanka,90,RU,1542484800,100,58.45,30.2,6.71,56.42
132,aksu,90,KZ,1542484800,100,52.04,21.2,8.95,76.93
133,ahuimanu,90,US,1542484620,79,21.44,80.06,17.22,-157.84
134,mugur-aksy,8,RU,1542487185,64,50.38,-19.66,2.35,90.44
135,biak,8,ID,1542487185,96,-0.91,78.94,2.91,122.88
136,ivanteyevka,90,RU,1542484800,88,55.97,33.8,11.18,37.92
137,cabo san lucas,40,MX,1542483600,41,22.89,80.6,14.99,-109.91
138,svetlogorsk,90,RU,1542484800,74,53.14,30.2,6.71,59.15
139,kita,90,JP,1542485460,76,35.76,55.4,9.17,139.74
140,dalianwan,0,CN,1542484800,100,39.03,39.2,2.24,121.69
141,sosua,20,DO,1542484800,79,19.77,89.6,9.17,-70.52
142,port hedland,36,AU,1542484800,74,-20.31,78.8,3.36,118.58
143,komsomolskiy,92,RU,1542487187,89,67.55,20.67,13.65,63.78
144,guerrero negro,0,MX,1542487188,50,27.97,71.97,7.94,-114.04
145,southbridge,90,US,1542484560,64,42.08,46.94,6.93,-72.03
146,bubaque,0,GW,1542484800,58,11.28,82.4,4.7,-15.83
147,namatanai,88,PG,1542487188,100,-3.66,77.73,9.51,152.44
148,salta,40,AR,1542484800,38,-24.79,91.4,17.22,-65.41
149,praia da vitoria,40,PT,1542484800,76,38.73,55.4,17.22,-27.07
150,san quintin,44,PH,1542487190,82,17.54,69.9,3.36,120.52
151,porosozero,92,RU,1542487190,96,62.72,38.85,11.63,32.71
152,cape town,20,ZA,1542484800,63,-33.93,62.6,20.8,18.42
153,nanortalik,0,GL,1542487190,94,60.14,32.41,34.11,-45.24
154,terrace,90,CA,1542484800,93,54.52,35.6,1.34,-128.61
155,khazar,92,RU,1542487191,100,41.99,52.17,9.28,48.34
156,praia,20,BR,1542484800,51,-20.25,80.6,11.41,-43.81
157,bereznik,88,RU,1542487192,95,62.86,36.6,7.27,42.71
158,namibe,0,AO,1542487192,100,-15.19,74.04,4.14,12.15
159,alofi,40,NU,1542484800,74,-19.06,80.6,6.93,-169.92
160,nizhnevartovsk,90,RU,1542484800,84,60.93,5.0,4.47,76.58
161,hasaki,40,JP,1542484800,93,35.73,48.2,9.17,140.83
162,vila franca do campo,40,PT,1542484800,71,37.72,55.4,8.05,-25.43
163,rio gallegos,75,AR,1542484800,41,-51.62,60.8,25.28,-69.22
164,mar del plata,88,AR,1542486957,31,-46.43,68.1,4.59,-67.52
165,narsaq,75,GL,1542484200,86,60.91,26.6,2.24,-46.05
166,chuy,100,UY,1542487182,99,-33.69,68.77,12.41,-53.46
167,east london,92,ZA,1542487020,100,-33.02,66.39,9.95,27.91
168,hobyo,20,SO,1542487195,93,5.35,75.75,10.96,48.53
169,davila,24,PH,1542487195,100,18.47,78.99,9.28,120.58
170,itamaraca,40,BR,1542484800,74,-7.75,82.4,13.87,-34.83
171,pochutla,40,MX,1542483900,62,15.74,87.8,6.71,-96.47
172,puchezh,88,RU,1542487196,100,56.98,33.72,13.87,43.17
173,loudi,92,CN,1542487197,100,27.73,46.27,12.97,112.0
174,kedougou,32,SN,1542487197,47,12.56,80.11,8.05,-12.19
175,shakiso,92,ET,1542487197,100,5.77,57.97,2.68,38.9
176,novyy urengoy,92,RU,1542487197,90,66.08,19.68,12.75,76.63
177,esperance,20,TT,1542484800,83,10.24,82.4,11.41,-61.45
178,kapit,100,MY,1542487198,99,2.02,71.52,2.57,112.94
179,pacific grove,1,US,1542484920,68,36.62,64.4,3.36,-121.92
180,saint-felicien,75,CA,1542484800,58,48.65,26.6,16.11,-72.45
181,lazaro cardenas,20,MX,1542484080,21,28.39,69.8,10.29,-105.62
182,senanga,8,ZM,1542487199,60,-16.1,74.58,2.57,23.3
